what,kind,bundleId,bundleVersion,description,time
error,log,,,"Designer [1.3.0.r37x201202021417.201508050905]: new JSeparator()",1438782982767
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1438782985160
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1438782985170
error,log,,,"Could not retrieve interfaces",1438782985206
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1438782985230
error,log,,,"Designer [1.3.0.r37x201202021417.201508050905]: new JLabel(""Cadastrar Militar"")",1438782985240
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1438782988793
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1438782988799
error,log,,,"Could not retrieve interfaces",1438782988827
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1438782988857
error,log,,,"Designer [1.3.0.r37x201202021417.201508050905]: new JLabel(""Cadastrar Militar"")",1438782988866
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1438783019456
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1438783045799
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1438783047239
error,log,,,"Could not retrieve interfaces",1438783047272
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1438783047983
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1438783061326
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1438783061336
error,log,,,"Could not retrieve interfaces",1438783061349
error,log,,,"Could not retrieve interfaces",1438783061352
error,log,,,"Could not retrieve interfaces",1438783061356
error,log,,,"Could not retrieve interfaces",1438783061360
error,log,,,"Could not retrieve declared methods",1438783061363
error,log,,,"Could not retrieve declared methods",1438783061364
error,log,,,"Could not retrieve declared methods",1438783061366
error,log,,,"Could not retrieve declared methods",1438783061368
error,log,,,"Could not retrieve interfaces",1438783061371
error,log,,,"Could not retrieve interfaces",1438783061373
error,log,,,"Could not retrieve declared methods",1438783061376
error,log,,,"Could not retrieve declared methods",1438783061378
error,log,,,"Could not retrieve interfaces",1438783061380
error,log,,,"Could not retrieve interfaces",1438783061384
error,log,,,"Could not retrieve interfaces",1438783061386
error,log,,,"Could not retrieve interfaces",1438783061387
error,log,,,"Could not retrieve interfaces",1438783061388
error,log,,,"Could not retrieve interfaces",1438783061390
error,log,,,"Could not retrieve declared methods",1438783061391
error,log,,,"Could not retrieve declared methods",1438783061392
error,log,,,"Could not retrieve interfaces",1438783061393
error,log,,,"Could not retrieve declared methods",1438783061395
error,log,,,"Could not retrieve interfaces",1438783061397
error,log,,,"Could not retrieve interfaces",1438783061399
error,log,,,"Could not retrieve interfaces",1438783061400
error,log,,,"Could not retrieve interfaces",1438783061402
error,log,,,"Could not retrieve declared methods",1438783061405
error,log,,,"Could not retrieve interfaces",1438783061411
error,log,,,"Could not retrieve interfaces",1438783061416
error,log,,,"Could not retrieve declared methods",1438783061427
error,log,,,"Could not retrieve declared methods",1438783061432
error,log,,,"Could not retrieve declared methods",1438783061434
error,log,,,"Could not retrieve interfaces",1438783061447
error,log,,,"Could not retrieve interfaces",1438783061451
error,log,,,"Could not retrieve declared methods",1438783061458
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1438783070337
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1438783070350
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1438783083189
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1438783083202
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1438783180747
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1438783217349
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1438783264018
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1438783264026
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1438783264053
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1438783265916
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1438783428142
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1438783428156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1438783465897
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1438783465909
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1438783541950
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1438783568154
error,log,,,"Could not retrieve interfaces",1438783568433
error,log,,,"Could not retrieve declared methods",1438783568444
error,log,,,"Could not retrieve declared methods",1438783568446
error,log,,,"Could not retrieve declared methods",1438783568448
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1438783572560
