what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439558781419
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1439558781565
closed,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1439558781566
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1439558783733
opened,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1439558785724
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1439558785850
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439558792844
error,log,,,"Could not retrieve interfaces",1439558792947
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439558793211
error,log,,,"Designer [1.3.0.r37x201202021417.201508141002]: new JTextField()",1439558793276
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1439558813075
opened,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1439558860249
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1439558860371
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439558862185
error,log,,,"Could not retrieve interfaces",1439558862364
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439558862593
error,log,,,"Designer [1.3.0.r37x201202021417.201508141002]: new JTextField()",1439558862677
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1439558868499
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1439558871007
opened,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1439558875469
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1439558875574
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439558877450
error,log,,,"Could not retrieve interfaces",1439558878124
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439558880294
error,log,,,"Could not retrieve interfaces",1439558895489
error,log,,,"Could not retrieve interfaces",1439558895546
error,log,,,"Could not retrieve interfaces",1439558895560
error,log,,,"Could not retrieve interfaces",1439558895582
error,log,,,"Could not retrieve declared methods",1439558895699
error,log,,,"Could not retrieve declared methods",1439558895706
error,log,,,"Could not retrieve declared methods",1439558895711
error,log,,,"Could not retrieve declared methods",1439558895738
error,log,,,"Could not retrieve interfaces",1439558895759
error,log,,,"Could not retrieve interfaces",1439558895765
error,log,,,"Could not retrieve declared methods",1439558895775
error,log,,,"Could not retrieve declared methods",1439558895780
error,log,,,"Could not retrieve interfaces",1439558895803
error,log,,,"Could not retrieve interfaces",1439558895824
error,log,,,"Could not retrieve interfaces",1439558895829
error,log,,,"Could not retrieve interfaces",1439558895834
error,log,,,"Could not retrieve interfaces",1439558895839
error,log,,,"Could not retrieve interfaces",1439558895843
error,log,,,"Could not retrieve declared methods",1439558895847
error,log,,,"Could not retrieve declared methods",1439558895851
error,log,,,"Could not retrieve interfaces",1439558895856
error,log,,,"Could not retrieve declared methods",1439558895864
error,log,,,"Could not retrieve interfaces",1439558895868
error,log,,,"Could not retrieve interfaces",1439558895875
error,log,,,"Could not retrieve interfaces",1439558895879
error,log,,,"Could not retrieve interfaces",1439558895884
error,log,,,"Could not retrieve declared methods",1439558895907
error,log,,,"Could not retrieve interfaces",1439558895961
error,log,,,"Could not retrieve interfaces",1439558895982
error,log,,,"Could not retrieve declared methods",1439558896087
error,log,,,"Could not retrieve declared methods",1439558896162
error,log,,,"Could not retrieve declared methods",1439558896168
error,log,,,"Could not retrieve interfaces",1439558896243
error,log,,,"Could not retrieve interfaces",1439558896260
error,log,,,"Could not retrieve declared methods",1439558896356
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1439558931389
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1439558970582
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1439558980688
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1439559032927
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1439559046733
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1439559046874
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1439559047018
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1439559047191
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1439559047353
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1439559049389
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1439559052166
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439559054765
error,log,,,"Could not retrieve interfaces",1439559054944
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439559056980
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439559073817
error,log,,,"Could not retrieve interfaces",1439559073973
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439559075762
