what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439301066083
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1439301070577
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439301072634
error,log,,,"Could not retrieve interfaces",1439301072758
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439301075466
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439301086904
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439301092878
error,log,,,"Could not retrieve interfaces",1439301092983
error,log,,,"Could not retrieve interfaces",1439301092997
error,log,,,"Could not retrieve interfaces",1439301093003
error,log,,,"Could not retrieve interfaces",1439301093040
error,log,,,"Could not retrieve declared methods",1439301093131
error,log,,,"Could not retrieve declared methods",1439301093135
error,log,,,"Could not retrieve declared methods",1439301093138
error,log,,,"Could not retrieve declared methods",1439301093156
error,log,,,"Could not retrieve interfaces",1439301093170
error,log,,,"Could not retrieve interfaces",1439301093173
error,log,,,"Could not retrieve declared methods",1439301093178
error,log,,,"Could not retrieve declared methods",1439301093182
error,log,,,"Could not retrieve interfaces",1439301093195
error,log,,,"Could not retrieve interfaces",1439301093213
error,log,,,"Could not retrieve interfaces",1439301093216
error,log,,,"Could not retrieve interfaces",1439301093219
error,log,,,"Could not retrieve interfaces",1439301093222
error,log,,,"Could not retrieve interfaces",1439301093225
error,log,,,"Could not retrieve declared methods",1439301093228
error,log,,,"Could not retrieve declared methods",1439301093230
error,log,,,"Could not retrieve interfaces",1439301093236
error,log,,,"Could not retrieve declared methods",1439301093250
error,log,,,"Could not retrieve interfaces",1439301093252
error,log,,,"Could not retrieve interfaces",1439301093257
error,log,,,"Could not retrieve interfaces",1439301093259
error,log,,,"Could not retrieve interfaces",1439301093262
error,log,,,"Could not retrieve declared methods",1439301093275
error,log,,,"Could not retrieve interfaces",1439301093342
error,log,,,"Could not retrieve interfaces",1439301093352
error,log,,,"Could not retrieve declared methods",1439301093488
error,log,,,"Could not retrieve declared methods",1439301093538
error,log,,,"Could not retrieve declared methods",1439301093542
error,log,,,"Could not retrieve interfaces",1439301093599
error,log,,,"Could not retrieve interfaces",1439301093629
error,log,,,"Could not retrieve declared methods",1439301093701
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439301108690
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439301113686
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439301118008
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439301123586
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439301131119
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439301135346
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439301139161
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439301142861
started,bundle,org.eclipse.wb.os,1.3.0.r37x201202052311,"org.eclipse.wb.os",1439301239121
started,bundle,org.eclipse.wb.os.win32,1.3.0.r37x201202052311,"org.eclipse.wb.os.win32",1439301239140
started,bundle,org.eclipse.wb.swing.FormLayout.lib,1.3.0.r37x201202021417,"org.eclipse.wb.swing.FormLayout.lib",1439301249224
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439301305254
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439301313945
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439301315084
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439301337446
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1439301411114
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1439301424087
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1439301424197
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1439301441037
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1439302688979
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1439302711334
error,log,,,"Could not retrieve interfaces",1439302719737
error,log,,,"Could not retrieve interfaces",1439302719740
