what,kind,bundleId,bundleVersion,description,time
error,log,,,"Could not retrieve interfaces",1439950599214
error,log,,,"Could not retrieve interfaces",1439950599218
error,log,,,"Could not retrieve interfaces",1439950599221
error,log,,,"Could not retrieve interfaces",1439950599225
error,log,,,"Could not retrieve interfaces",1439950599228
error,log,,,"Could not retrieve declared methods",1439950599232
error,log,,,"Could not retrieve declared methods",1439950599235
error,log,,,"Could not retrieve interfaces",1439950599238
error,log,,,"Could not retrieve declared methods",1439950599247
error,log,,,"Could not retrieve interfaces",1439950599250
error,log,,,"Could not retrieve interfaces",1439950599255
error,log,,,"Could not retrieve interfaces",1439950599257
error,log,,,"Could not retrieve interfaces",1439950599260
error,log,,,"Could not retrieve declared methods",1439950599272
error,log,,,"Could not retrieve interfaces",1439950599355
error,log,,,"Could not retrieve interfaces",1439950599382
error,log,,,"Could not retrieve declared methods",1439950599526
error,log,,,"Could not retrieve declared methods",1439950599584
error,log,,,"Could not retrieve declared methods",1439950599588
error,log,,,"Could not retrieve interfaces",1439950599679
error,log,,,"Could not retrieve interfaces",1439950599693
error,log,,,"Could not retrieve declared methods",1439950663860
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439950664229
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439950665602
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439950678477
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439951085587
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1439951087012
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1439951092946
started,bundle,org.eclipse.wb.os,1.3.0.r37x201202052311,"org.eclipse.wb.os",1439951093074
started,bundle,org.eclipse.wb.os.win32,1.3.0.r37x201202052311,"org.eclipse.wb.os.win32",1439951093085
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1439951094962
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1439951110120
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1439951125214
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1439951125344
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1439951125527
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1439951125685
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1439951127792
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1439951127938
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1439951128257
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1439951128444
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1439951130382
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1439951130560
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1439951130752
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1439951130977
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439951137804
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439951138268
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439951150526
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439951187531
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439951191207
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439951196294
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439951200741
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439951287656
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1439951292892
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1439951293751
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1439951295126
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1439951295407
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1439951297421
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1439951298039
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1439951298199
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1439951298562
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1439951298932
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439951307848
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439951319787
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1439951325989
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439951330310
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439951334565
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439951336619
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439951338296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439951349300
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1439951351178
