what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1438780001700
error,log,,,"Could not retrieve interfaces",1438780001741
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1438780001775
error,log,,,"Designer [1.3.0.r37x201202021417.201508050905]: new JTextField()",1438780001786
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1438780028050
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1438780039404
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1438780068985
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1438780084253
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1438780090148
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1438780091785
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1438780097051
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1438780098686
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1438780125441
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1438780127146
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1438780129235
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1438780133623
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1438780144142
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1438780153192
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1438780156177
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1438780156431
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1438780156885
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1438780158706
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1438780167480
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1438780171290
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1438780173094
error,log,,,"Could not retrieve interfaces",1438780173150
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1438780173662
error,log,,,"Could not retrieve interfaces",1438780173876
error,log,,,"Could not retrieve interfaces",1438780173880
error,log,,,"Could not retrieve interfaces",1438780173885
error,log,,,"Could not retrieve declared methods",1438780173888
error,log,,,"Could not retrieve declared methods",1438780173889
error,log,,,"Could not retrieve declared methods",1438780173890
error,log,,,"Could not retrieve declared methods",1438780173893
error,log,,,"Could not retrieve interfaces",1438780173895
error,log,,,"Could not retrieve interfaces",1438780173896
error,log,,,"Could not retrieve declared methods",1438780173898
error,log,,,"Could not retrieve declared methods",1438780173900
error,log,,,"Could not retrieve interfaces",1438780173902
error,log,,,"Could not retrieve interfaces",1438780173905
error,log,,,"Could not retrieve interfaces",1438780173907
error,log,,,"Could not retrieve interfaces",1438780173908
error,log,,,"Could not retrieve interfaces",1438780173911
error,log,,,"Could not retrieve interfaces",1438780173912
error,log,,,"Could not retrieve declared methods",1438780173914
error,log,,,"Could not retrieve declared methods",1438780173916
error,log,,,"Could not retrieve interfaces",1438780173918
error,log,,,"Could not retrieve declared methods",1438780173920
error,log,,,"Could not retrieve interfaces",1438780173922
error,log,,,"Could not retrieve interfaces",1438780173924
error,log,,,"Could not retrieve interfaces",1438780173927
error,log,,,"Could not retrieve interfaces",1438780173931
error,log,,,"Could not retrieve declared methods",1438780173934
error,log,,,"Could not retrieve interfaces",1438780173941
error,log,,,"Could not retrieve interfaces",1438780173948
error,log,,,"Could not retrieve declared methods",1438780173961
error,log,,,"Could not retrieve declared methods",1438780173969
error,log,,,"Could not retrieve declared methods",1438780173971
error,log,,,"Could not retrieve interfaces",1438780173985
error,log,,,"Could not retrieve interfaces",1438780173990
error,log,,,"Could not retrieve declared methods",1438780173997
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1438780179794
